  41.850, -87.670
  42.656, -86.448
  43.448, -85.194
  44.226, -83.908
  44.990, -82.587
  45.738, -81.231
  46.469, -79.838
  47.183, -78.408
  47.879, -76.940
  48.556, -75.432
  49.212, -73.884
  49.847, -72.294
  50.460, -70.664
  51.049, -68.991
  51.614, -67.276
  52.153, -65.519
  52.666, -63.720
  53.151, -61.879
  53.606, -59.998
  54.032, -58.077
  54.426, -56.117
  54.788, -54.122
  55.117, -52.091
  55.411, -50.029
  55.671, -47.938
  55.894, -45.821
  56.080, -43.681
  56.229, -41.523
  56.341, -39.350
  56.414, -37.166
  56.448, -34.977
  56.444, -32.785
  56.402, -30.596
  56.321, -28.414
  56.202, -26.244
  56.045, -24.089
  55.851, -21.954
  55.620, -19.842
  55.354, -17.756
  55.052, -15.701
  54.717, -13.677
  54.348, -11.689
  53.947,  -9.737
  53.515,  -7.824
  53.053,  -5.951
  52.563,  -4.119
  52.045,  -2.328
  51.500,  -0.580
